Address,Transactions,Year,Month,List Price,Sold Price,Sold/List Ratio,Property Type,SqFt,Beds,Baths
"35 Cougarstone Point Southwest, Calgary ",1,2024,September,"$990,000","$983,000",99%,House,"2,317",4,3
"#4 2001 34 Avenue Southwest, Calgary ",1,2024,November,"$489,900","$526,000",107%,Not Applicable,969,3,2
"34 Evergreen Common Southwest, Calgary ",1,2024,October,"$979,900","$954,000",97%,House,"1,708",4,3
"224 Ranch Glen Place Northwest, Calgary ",1,2024,October,"$494,000","$485,000",98%,Half Duplex,"1,162",3,2
"202 Patterson Boulevard Southwest, Calgary ",1,2024,September,"$1,060,000","$1,010,000",95%,House,"1,907",4,3
"48 Prominence Point Southwest, Calgary ",1,2024,November,"$998,000","$998,000",100%,Half Duplex,"1,871",3,2
"80 Cromwell Avenue Northwest, Calgary ",1,2024,November,"$1,124,900","$1,124,900",100%,House,"1,393",5,2
"44 Evergreen Lane Southwest, Calgary ",1,2024,September,"$1,200,000","$1,170,000",98%,House,"2,503",4,4
"138 Aspen Stone Grove Southwest, Calgary ",1,2025,January,"$1,225,000","$1,200,000",98%,House,"2,660",4,3
"126 Evergreen Mount Southwest, Calgary ",1,2024,August,"$1,194,000","$1,168,000",98%,House,"2,972",4,4
"632 12 Avenue Northeast, Calgary ",1,2025,January,"$784,900","$773,000",98%,House,622,1,1
"221 Ascot Circle Southwest, Calgary ",1,2024,October,"$599,900","$576,688",96%,Not Applicable,"1,551",3,2
"1209 Riverdale Avenue Southwest, Calgary ",1,2024,September,"$2,399,900","$2,360,000",98%,House,"2,463",4,5
"239 8 Avenue Northwest, Calgary ",1,2025,January,"$2,298,000","$2,205,000",96%,House,"3,036",5,3
"109 Evansridge Park Northwest, Calgary ",1,2024,August,"$499,990","$505,500",101%,Not Applicable,"1,574",3,2
"#420 7210 80 Avenue Northeast, Calgary ",1,2024,December,"$225,000","$217,000",96%,High Rise Apartment,582,1,1
"44 Aspen Ridge Heights Southwest, Calgary ",1,2024,December,"$7,900,000","$7,525,000",95%,House,"9,578",5,8
"17 Martinvalley Crescent Northeast, Calgary ",1,2025,January,"$610,000","$603,999",99%,House,"1,095",5,3
"#508 1118 12 Avenue Southwest, Calgary ",1,2024,August,"$439,000","$429,000",98%,High Rise Apartment,861,2,2
"1243 Rosehill Drive Northwest, Calgary ",1,2024,August,"$539,900","$547,500",101%,Half Duplex,964,2,2
"11 Douglas Woods Hill Southeast, Calgary ",1,2024,October,"$799,900","$770,000",96%,House,"2,120",4,2
"125 Mckenzie Towne Close Southeast, Calgary ",1,2024,August,"$349,900","$326,000",93%,Not Applicable,"1,086",2,2
"#107 5115 Richard Road Southwest, Calgary ",1,2024,November,"$324,900","$324,400",100%,High Rise Apartment,816,2,2
"#203 5115 Richard Road Southwest, Calgary ",1,2024,September,"$289,900","$289,900",100%,High Rise Apartment,725,1,1
"#408 5115 Richard Road Southwest, Calgary ",1,2024,October,"$328,000","$334,000",102%,High Rise Apartment,915,2,2
"1177 Strathcona Drive Southwest, Calgary ",1,2024,November,"$920,000","$909,250",99%,House,"2,353",5,3
"32 Auburn Meadows Avenue Southeast, Calgary ",1,2025,January,"$569,900","$557,000",98%,Half Duplex,"1,033",3,3
"#38 39 Strathlea Common Southwest, Calgary ",1,2024,December,"$629,000","$639,000",102%,Not Applicable,"2,064",4,3
"#23 448 Strathcona Drive Southwest, Calgary ",1,2024,August,"$529,000","$530,000",100%,Not Applicable,"1,895",3,2
"92 Covehaven Terrace Northeast, Calgary ",1,2025,January,"$673,500","$655,000",97%,House,"1,722",4,3
"3727 Kerrydale Road Southwest, Calgary ",1,2024,September,"$975,000","$950,000",97%,House,"1,268",4,2
"#423 4525 31 Street Southwest, Calgary ",1,2024,August,"$389,000","$400,000",103%,Not Applicable,"1,356",3,1
"131 Shawcliffe Circle Southwest, Calgary ",1,2025,January,"$699,900","$690,000",99%,House,"1,205",4,3
"#120 6868 Sierra Morena Boulevard Southwest, Calgary ",1,2024,December,"$459,900","$450,000",98%,High Rise Apartment,"1,357",2,2
"#105 1602 11 Avenue Southwest, Calgary ",1,2025,January,"$219,900","$210,000",95%,High Rise Apartment,507,1,1
"#304 1613 11 Avenue Southwest, Calgary ",1,2024,October,"$194,900","$194,900",100%,High Rise Apartment,554,1,1
"#2 468 Woodbine Boulevard Southwest, Calgary ",1,2024,December,"$489,500","$480,000",98%,Not Applicable,"1,493",4,2
"#6 468 Woodbine Boulevard Southwest, Calgary ",1,2024,August,"$429,000","$420,000",98%,Not Applicable,"1,581",3,2
"522 Auburn Bay Circle Southeast, Calgary ",1,2024,September,"$425,000","$417,500",98%,Not Applicable,"1,132",2,2
"#303 525 13 Avenue Southwest, Calgary ",1,2024,October,"$189,900","$189,988",100%,High Rise Apartment,575,1,1
"#132 999 Canyon Meadows Drive Southwest, Calgary ",1,2024,September,"$350,000","$351,150",100%,Not Applicable,876,2,1
"#220 519 17 Avenue Southwest, Calgary ",1,2024,October,"$219,900","$212,000",96%,High Rise Apartment,776,2,1
"#304 525 22 Avenue Southwest, Calgary ",1,2024,August,"$254,900","$235,000",92%,High Rise Apartment,577,1,1
"#11 7172 Coach Hill Road Southwest, Calgary ",1,2024,September,"$369,900","$365,000",99%,House,920,2,1
"#1319 2395 Eversyde Avenue Southwest, Calgary ",1,2024,August,"$319,888","$319,888",100%,High Rise Apartment,754,2,2
"12 Harmon Place Southwest, Calgary ",1,2024,October,"$665,000","$640,000",96%,House,"1,038",4,2
"#302 835 19 Avenue Southwest, Calgary ",1,2024,December,"$229,000","$222,000",97%,High Rise Apartment,600,1,1
"#306 835 19 Avenue Southwest, Calgary ",1,2024,September,"$259,900","$246,712",95%,High Rise Apartment,561,1,1
"414 Mckenzie Towne Close Southeast, Calgary ",1,2024,October,"$329,000","$319,500",97%,Not Applicable,"1,067",2,2
"#324 23 Millrise Drive Southwest, Calgary ",1,2024,September,"$265,000","$265,000",100%,High Rise Apartment,603,1,1
"#335 23 Millrise Drive Southwest, Calgary ",1,2024,October,"$335,000","$330,000",99%,High Rise Apartment,879,2,2
"#401 220 26 Avenue Southwest, Calgary ",1,2024,October,"$525,000","$518,000",99%,High Rise Apartment,"1,148",2,2
"5023 Applevillage Court Southeast, Calgary ",1,2024,September,"$435,000","$430,400",99%,Not Applicable,"1,219",3,1
"#301 801 2 Avenue Southwest, Calgary ",1,2024,September,"$450,000","$445,000",99%,High Rise Apartment,"1,001",2,2
"#1307 804 3 Avenue Southwest, Calgary ",1,2024,October,"$455,000","$450,000",99%,High Rise Apartment,"1,083",2,2
"#202 804 3 Avenue Southwest, Calgary ",1,2024,October,"$350,000","$344,000",98%,High Rise Apartment,962,1,2
"153 Arbour Wood Mews Northwest, Calgary ",1,2025,January,"$588,000","$575,000",98%,House,"1,274",3,2
"#3307 13045 6 Street Southwest, Calgary ",1,2024,September,"$248,500","$241,000",97%,High Rise Apartment,820,2,1
"210 Canterbury Place Southwest, Calgary ",1,2025,January,"$925,000","$907,500",98%,House,"1,611",4,3
"31 Canso Green Southwest, Calgary ",1,2024,October,"$1,149,900","$1,107,000",96%,House,"1,865",5,3
"431 Cantrell Drive Southwest, Calgary ",1,2024,December,"$629,900","$649,000",103%,House,"1,220",7,4
"307 Queensland Circle Southeast, Calgary ",1,2024,October,"$639,900","$632,000",99%,House,"1,130",5,2
"131 Millview Square Southwest, Calgary ",1,2024,December,"$409,900","$397,000",97%,Not Applicable,"1,161",3,1
"59 Somerset Manor Southwest, Calgary ",1,2024,December,"$729,900","$718,000",98%,House,"2,213",4,3
"617 38 Avenue Southwest, Calgary ",1,2024,September,"$1,700,000","$1,735,000",102%,House,"1,648",4,2
"18 Discovery Woods Villas Southwest, Calgary ",1,2025,January,"$699,000","$680,000",97%,Half Duplex,"1,307",3,2
"80 34 Avenue Southwest, Calgary ",1,2024,August,"$799,900","$760,000",95%,House,"2,197",3,2
"46 Cougarstone Circle Southwest, Calgary ",1,2024,September,"$749,000","$749,000",100%,House,"1,854",3,3
"59 Cougarstone Common Southwest, Calgary ",1,2025,January,"$739,900","$760,000",103%,House,"1,966",3,2
"1 Everglade Place Southwest, Calgary ",1,2024,October,"$1,099,500","$1,045,000",95%,House,"2,290",4,3
"19 Mahogany Rise Southeast, Calgary ",1,2024,October,"$770,000","$789,000",102%,House,"2,186",4,3
"328 Mahogany Boulevard Southeast, Calgary ",1,2024,September,"$799,000","$780,000",98%,House,"2,463",3,2
"34 Mahogany Close Southeast, Calgary ",1,2025,January,"$775,000","$760,000",98%,House,"2,192",3,2
"35 Masters Point Southeast, Calgary ",1,2024,September,"$1,034,900","$1,015,000",98%,House,"2,765",3,2
"41 Mahogany Terrace Southeast, Calgary ",1,2024,October,"$774,900","$757,000",98%,House,"1,964",3,3
"462 Mahogany Terrace Southeast, Calgary ",1,2024,September,"$795,000","$770,000",97%,House,"2,153",3,4
"5 Masters Park Southeast, Calgary ",1,2024,November,"$809,900","$813,000",100%,House,"2,267",3,2
"99 Masters Manor Southeast, Calgary ",1,2025,January,"$679,900","$682,500",100%,House,"1,619",4,3
"1186 Evanston Drive Northwest, Calgary ",1,2024,December,"$579,900","$565,000",97%,Half Duplex,"1,584",4,3
"#203 6148 Bowness Road Northwest, Calgary ",1,2025,January,"$399,900","$394,000",99%,Half Duplex,741,3,1
"66 Nolanfield Manor Northwest, Calgary ",1,2024,August,"$639,999","$645,000",101%,House,"1,528",2,2
"71 Chaparral Circle Southeast, Calgary ",1,2024,October,"$789,800","$789,900",100%,House,"2,248",5,3
"#101 121 Quarry Way Southeast, Calgary ",1,2024,August,"$449,900","$449,900",100%,High Rise Apartment,730,1,1
"1128 Lake Sylvan Drive Southeast, Calgary ",1,2024,November,"$1,169,000","$1,175,000",101%,House,"1,905",5,3
"269 Douglas Ridge Circle Southeast, Calgary ",1,2024,August,"$599,900","$572,000",95%,House,"1,814",4,3
"76 Valley Meadow Gardens Northwest, Calgary ",1,2024,September,"$775,000","$805,000",104%,House,"1,975",3,3
"32 Bowbank Crescent Northwest, Calgary ",1,2024,December,"$1,575,000","$1,520,000",97%,House,"2,775",4,2
"#506 24 Varsity Estates Circle, Calgary ",1,2024,November,"$399,900","$392,000",98%,High Rise Apartment,903,2,2
"#318 3420 50 Street Northwest, Calgary ",1,2024,September,"$259,900","$255,300",98%,High Rise Apartment,846,2,1
"#115 3500 Varsity Drive Northwest, Calgary ",1,2024,August,"$364,900","$366,000",100%,Not Applicable,"1,137",2,1
"#505 3500 Varsity Drive Northwest, Calgary ",1,2024,October,"$325,000","$321,000",99%,House,913,2,1
"#254 4037 42 Street Northwest, Calgary ",1,2025,January,"$636,500","$620,000",97%,Not Applicable,"1,646",2,2
"#408 4555 Varsity Lane Northwest, Calgary ",1,2024,October,"$249,900","$238,500",95%,High Rise Apartment,599,1,1
"8931 33 Avenue Northwest, Calgary ",1,2024,November,"$719,900","$665,000",92%,House,"1,616",4,2
"167 Woodborough Terrace Southwest, Calgary ",1,2024,November,"$399,990","$395,000",99%,Not Applicable,"1,107",3,1
"146 Skyview Circle Northeast, Calgary ",1,2024,November,"$577,500","$565,000",98%,Not Applicable,"1,497",3,2
"8346 Saddlebrook Drive Northeast, Calgary ",1,2024,November,"$424,900","$424,900",100%,Not Applicable,"1,341",3,2
"#2304 4641 128 Avenue Northeast, Calgary ",1,2024,October,"$299,900","$305,000",102%,High Rise Apartment,681,2,2
"#4410 4641 128 Avenue Northeast, Calgary ",1,2024,August,"$359,900","$357,000",99%,High Rise Apartment,835,3,2
"#57 4769 Hubalta Road Southeast, Calgary ",1,2025,January,"$369,000","$350,000",95%,Not Applicable,"1,075",4,3
"56 Howse Manor Northeast, Calgary ",1,2024,December,"$719,000","$700,000",97%,House,"1,849",3,2
"#1240 1001 13 Avenue Southwest, Calgary ",1,2024,October,"$450,000","$445,000",99%,High Rise Apartment,"1,302",2,2
"25 Patterson Park Southwest, Calgary ",1,2024,September,"$1,250,000","$1,248,000",100%,House,"3,074",6,3
"#208 1025 14 Avenue Southwest, Calgary ",1,2025,January,"$200,000","$191,000",96%,High Rise Apartment,508,1,1
"#317 6000 Somervale Court Southwest, Calgary ",1,2024,November,"$299,900","$300,000",100%,High Rise Apartment,806,2,2
"#405 1026 12 Avenue Southwest, Calgary ",1,2024,September,"$369,900","$369,900",100%,High Rise Apartment,"1,066",2,2
"32 Patina Terrace Southwest, Calgary ",1,2024,October,"$450,000","$455,000",101%,Not Applicable,"1,339",3,1
"#605 1033 15 Avenue Southwest, Calgary ",1,2024,December,"$199,900","$199,900",100%,High Rise Apartment,679,1,1
"#202 1707 27 Avenue Southwest, Calgary ",1,2024,November,"$499,900","$515,000",103%,High Rise Apartment,"1,442",2,2
"#2 1717 27 Avenue Southwest, Calgary ",1,2024,August,"$539,000","$522,912",97%,Not Applicable,"1,666",3,2
"#312 1053 10 Street Southwest, Calgary ",1,2024,December,"$280,000","$273,000",98%,High Rise Apartment,793,1,1
"#409 317 19 Avenue Southwest, Calgary ",1,2024,October,"$475,000","$465,000",98%,High Rise Apartment,"1,024",1,1
"79 Autumn Green Southeast, Calgary ",1,2024,October,"$599,900","$587,500",98%,Half Duplex,"1,471",3,3
"#401 156 Country Village Circle Northeast, Calgary ",1,2025,January,"$349,900","$345,000",99%,High Rise Apartment,939,2,2
"#1406 733 14 Avenue Southwest, Calgary ",1,2024,August,"$279,000","$277,500",99%,High Rise Apartment,624,1,1
"#102 1234 14 Avenue Southwest, Calgary ",1,2025,January,"$299,900","$299,900",100%,High Rise Apartment,870,2,1
"#1103 1110 11 Street Southwest, Calgary ",1,2024,September,"$299,900","$293,000",98%,High Rise Apartment,545,1,1
"#4 121 Village Heights Southwest, Calgary ",1,2024,October,"$299,900","$299,900",100%,High Rise Apartment,865,2,2
"#709 1110 11 Street Southwest, Calgary ",1,2025,January,"$289,900","$290,000",100%,High Rise Apartment,523,1,1
"#2420 10 Prestwick Bay Southeast, Calgary ",1,2024,September,"$329,900","$322,000",98%,High Rise Apartment,912,2,2
"#802 1110 11 Street Southwest, Calgary ",1,2024,November,"$354,800","$346,000",98%,High Rise Apartment,714,2,1
"565 Macewan Drive Northwest, Calgary ",1,2024,October,"$499,900","$495,000",99%,Half Duplex,"1,000",4,2
"#314 2204 1 Street Southwest, Calgary ",1,2025,January,"$270,000","$267,500",99%,High Rise Apartment,663,1,1
"62 Marquis Common Southeast, Calgary ",1,2024,October,"$640,900","$625,000",98%,House,"1,647",3,2
"541 Regal Park Northeast, Calgary ",1,2024,October,"$399,999","$400,000",100%,Not Applicable,"1,043",3,1
"20 Douglas Glen Crescent Southeast, Calgary ",1,2024,December,"$549,900","$553,500",101%,House,"1,299",4,2
"#203 1117 1 Street Southwest, Calgary ",1,2024,October,"$595,000","$570,000",96%,High Rise Apartment,"1,284",1,1
"#213 1117 1 Street Southwest, Calgary ",1,2024,October,"$550,000","$532,000",97%,High Rise Apartment,"1,176",1,1
"#537 10120 Brookpark Boulevard Southwest, Calgary ",1,2024,August,"$263,000","$256,000",97%,High Rise Apartment,844,2,1
"1008 Evanston Square Northwest, Calgary ",1,2025,January,"$399,999","$390,000",98%,Not Applicable,"1,083",2,1
"#3204 3204 Tuscarora Manor Northwest, Calgary ",1,2025,January,"$349,500","$341,000",98%,High Rise Apartment,943,2,2
"#227 112 14 Avenue Southeast, Calgary ",1,2024,December,"$279,900","$269,000",96%,High Rise Apartment,617,1,1
"#10B 80 Galbraith Drive Southwest, Calgary ",1,2024,September,"$269,900","$270,000",100%,High Rise Apartment,867,2,1
"146 Tuscany Summit Heath Northwest, Calgary ",1,2024,September,"$874,900","$854,500",98%,House,"2,407",4,3
"230 Coral Keys Court Northeast, Calgary ",1,2024,October,"$799,888","$780,000",98%,House,"2,262",6,4
"#508 1123 13 Avenue Southwest, Calgary ",1,2024,November,"$325,000","$300,000",92%,High Rise Apartment,902,2,1
"#602 1123 13 Avenue Southwest, Calgary ",1,2024,September,"$234,900","$225,000",96%,High Rise Apartment,602,1,1
"17 Tuscany Valley Park Northwest, Calgary ",1,2025,January,"$599,900","$585,000",98%,House,"1,062",4,2
"217 Toscana Gardens Northwest, Calgary ",1,2024,September,"$480,000","$480,000",100%,Not Applicable,"1,220",2,2
"2202 Tuscarora Manor Northwest, Calgary ",1,2024,October,"$349,900","$345,000",99%,High Rise Apartment,"1,013",2,2
"1315 105 Avenue Southwest, Calgary ",1,2024,October,"$715,000","$700,000",98%,House,"1,026",4,3
"#329 69 Springborough Court Southwest, Calgary ",1,2025,January,"$359,000","$352,000",98%,High Rise Apartment,829,2,2
"#3316 24 Hemlock Crescent Southwest, Calgary ",1,2024,September,"$289,900","$289,000",100%,High Rise Apartment,553,1,1
"#202 312 Cedar Crescent Southwest, Calgary ",1,2024,November,"$245,000","$235,000",96%,High Rise Apartment,790,2,1
"3712 2 Avenue Southwest, Calgary ",1,2025,January,"$849,000","$866,500",102%,House,"1,694",4,3
"#907 55 Spruce Place Southwest, Calgary ",1,2024,November,"$349,800","$342,000",98%,High Rise Apartment,893,2,2
"#202 126 14 Avenue Southwest, Calgary ",1,2024,December,"$359,900","$362,500",101%,High Rise Apartment,913,2,2
"5607 Rundlehorn Drive Northeast, Calgary ",1,2024,September,"$550,000","$535,000",97%,House,"1,134",6,2
"72 Sage Berry Road Northwest, Calgary ",1,2024,December,"$713,900","$724,000",101%,House,"1,749",3,2
"74 Sage Berry Way Northwest, Calgary ",1,2024,November,"$779,000","$762,000",98%,House,"2,012",3,3
"107 Hawkmount Close Northwest, Calgary ",1,2025,January,"$799,900","$792,500",99%,House,"2,049",4,3
"#205 200 La Caille Place Southwest, Calgary ",1,2024,December,"$407,500","$399,000",98%,High Rise Apartment,971,2,1
"2343 22 Avenue Southwest, Calgary ",1,2024,November,"$899,900","$889,900",99%,Half Duplex,"1,821",4,3
"#124 2727 28 Avenue Southeast, Calgary ",1,2024,November,"$335,000","$325,000",97%,High Rise Apartment,820,2,2
"6406 34 Avenue Northwest, Calgary ",1,2024,October,"$588,800","$583,000",99%,Half Duplex,938,4,2
"277 Yorkville Manor Southwest, Calgary ",1,2024,September,"$539,000","$535,000",99%,Not Applicable,"1,379",2,2
"2529 17 Street Southeast, Calgary ",1,2024,August,"$699,000","$723,500",104%,House,930,2,2
"132 Evergreen Close Southwest, Calgary ",1,2025,January,"$859,000","$830,000",97%,House,"2,561",5,4
"35 Bermuda Place Northwest, Calgary ",1,2024,December,"$565,000","$580,000",103%,House,"1,102",3,3
"47 Panatella Road Northwest, Calgary ",1,2024,September,"$479,000","$464,500",97%,Not Applicable,"1,274",3,2
"152 Falshire Close Northeast, Calgary ",1,2024,September,"$567,700","$542,500",96%,House,885,5,3
"433 Brae Glen Crescent Southwest, Calgary ",1,2024,August,"$499,888","$520,000",104%,Not Applicable,"1,354",3,2
"140 Riverglen Crescent Southeast, Calgary ",1,2024,October,"$599,000","$629,000",105%,House,"1,612",4,2
"2308 3 Avenue Northwest, Calgary ",1,2024,December,"$1,399,900","$1,375,000",98%,Half Duplex,"2,585",4,3
"63 Hampstead Terrace Northwest, Calgary ",1,2024,August,"$789,000","$750,000",95%,House,"1,865",4,3
"18 Legacy Boulevard Southeast, Calgary ",1,2024,December,"$465,000","$460,000",99%,Not Applicable,"1,311",2,2
"72 Strathcona Close Southwest, Calgary ",1,2024,August,"$720,000","$715,000",99%,House,"1,077",5,2
"#4 2020 16 Avenue Northwest, Calgary ",1,2024,September,"$199,900","$200,500",100%,High Rise Apartment,750,2,1
"19 Aspen Hills Common Southwest, Calgary ",1,2024,November,"$539,500","$520,000",96%,Not Applicable,"1,215",3,2
"927 Riverbend Drive Southeast, Calgary ",1,2024,September,"$500,000","$525,000",105%,House,989,3,2
"119 Evansridge Park Northwest, Calgary ",1,2024,October,"$500,000","$490,000",98%,Not Applicable,"1,542",2,2
"124 Everhollow Street Southwest, Calgary ",1,2024,October,"$839,900","$810,000",96%,House,"2,210",6,4
